id,user_id,date,start,end,a01,a02,a03,a04,a05,a06,a07,a08,a09,a10,p01,p02,p03,p04,p05,p06,p07,p08,p09,p10,g01,g02,g03,g04,g05,g06,g07,g08,g09,g10
1388,db459c532be10d35008939a4f54d0c68,2014-01-21,2014-01-21 13:13:05,2014-01-21 13:14:40,-17,-17,-17,0,-8,-14,-9,-16,-15,-7,-16,-10,-17,-14,-16,-16,-16,-16,-16,-14,-16,-11,-15,-17,-16,-17,-18,-16,-13,-9
1393,296b90916da96a0b950d842f071eac35,2014-01-21,2014-01-21 13:30:39,2014-01-21 13:32:36,-13,-10,-9,-10,-10,-8,-11,-12,-9,-9,-9,-9,-10,-11,-11,-12,-10,-12,-14,-11,-12,-11,-1,-10,-11,-7,-11,-10,-10,-10
1389,ec5db44cdfaba6e0cae0c7927a01f8bf,2014-01-21,2014-01-21 13:13:16,2014-01-21 13:15:35,12,26,0,0,10,4,0,19,16,0,-14,-2,-4,-13,-6,-14,-13,0,0,0,0,-10,-9,-14,-10,-11,-14,0,-9,-10
1391,17d80b65c933b61850eeff6871e0907f,2014-01-21,2014-01-21 13:24:09,2014-01-21 13:26:41,0,0,0,54,62,29,0,5,36,35,-10,-10,-11,-12,-13,-13,-14,-13,0,-4,2,-10,0,-11,0,-3,36,-11,-1,-11
1390,02a7176b302633017a7962db7db5fa22,2014-01-21,2014-01-21 13:24:39,2014-01-21 13:26:11,-15,-14,-13,-14,-14,-16,-15,-15,-12,-14,-16,-14,-15,-14,-15,-14,-16,-13,-13,-13,-15,-16,-14,-14,-14,-15,-15,-13,-14,-16
1398,d68f3508809fc61d5f6cefa095d434f2,2014-01-21,2014-01-21 15:28:08,2014-01-21 15:30:00,-10,-7,-6,-4,0,-6,-8,-8,-6,-5,-11,-14,-12,-14,-12,-11,-14,-14,-9,-6,-9,-8,-12,-11,-12,-11,-11,-8,-8,-7
1397,248cddd27475f4826ea3cb424234b606,2014-01-21,2014-01-21 15:24:40,2014-01-21 15:26:15,-15,-16,-15,-12,-15,-17,-18,-16,-15,-16,-18,-16,-14,-16,-16,-16,-16,-17,-11,-17,-16,-15,-15,-16,-17,-16,-18,-17,-17,-15
1395,62df971cf71b3a878852cd3ce7d786b5,2014-01-21,2014-01-21 15:21:57,2014-01-21 15:24:06,0,0,0,5,5,4,0,12,0,7,-8,-12,-6,-13,-11,-11,-11,-12,0,-7,-6,-6,-5,-9,-12,-10,-4,-6,-2,0
1396,9d991c22020fa8cd00f4bbcb41db5b47,2014-01-21,2014-01-21 15:23:01,2014-01-21 15:25:07,1,-2,5,-9,16,-5,-4,2,-6,3,0,-7,-7,-6,-5,-9,-12,-11,0,-7,-3,0,-8,-8,4,-9,-11,-12,-12,-6
1399,77ed62f0fb2e5dc95171482e1968f95e,2014-01-21,2014-01-21 15:33:59,2014-01-21 15:35:48,-10,-13,-11,-14,-10,-14,-9,-12,-14,-14,-14,-8,-12,-10,-12,-13,-9,-12,-6,-12,-12,-14,-15,-11,-8,-12,-14,-13,-9,-11
1401,6ceb8fdd5d90a25db3ab2d5cb8de8af0,2014-01-21,2014-01-21 15:43:55,2014-01-21 15:46:04,-7,8,-5,-10,11,9,14,6,10,-10,-13,-13,-4,-12,-11,-13,-12,-4,-3,-6,-4,-6,-9,-14,-3,-12,-11,-4,-11,-7
1400,0e1ec1e239458e0ce3409b13b5bd9f54,2014-01-21,2014-01-21 15:37:16,2014-01-21 15:38:53,-14,-11,-14,-12,-3,-12,-11,-10,-14,-7,-13,-14,-12,-14,-12,-14,-13,-10,-12,-15,-12,-12,-11,-12,-13,-14,-11,-14,-15,-11
1403,4cd0d191695e6b5270775b8a13deea54,2014-01-21,2014-01-21 16:02:08,2014-01-21 16:04:19,-7,-6,-2,-1,0,-5,-10,0,-6,0,0,-6,-4,0,-11,-3,0,-4,-9,-11,-6,-1,-6,0,-2,-5,-4,0,-7,-10
1402,7a84c872fd9fcac79311eb420367f126,2014-01-21,2014-01-21 15:56:06,2014-01-21 15:59:01,3,92,16,85,128,61,15,6,108,45,-16,-18,-12,-15,-18,-16,-14,-17,-6,-15,-8,-12,-16,-10,-14,-16,17,-16,-15,-14
1466,3b5538f678212a66ec6fabc79c763906,2014-01-28,2014-01-28 15:23:07,2014-01-28 15:25:13,-6,-4,-4,-4,0,-8,-6,-1,0,-7,-11,-12,-7,-13,-14,-13,-13,-11,-3,-7,-8,-11,-9,-12,-5,-12,-9,-9,-11,-9
1475,0ba0046eafad669eeb81ec4f3da2c0e3,2014-01-28,2014-01-28 17:14:29,2014-01-28 17:15:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1404,5fd974b0784ddccca60ac2086803566c,2014-01-21,2014-01-21 16:53:37,2014-01-21 16:55:43,0,0,0,0,0,0,0,0,0,0,-14,0,0,0,-16,-8,0,-14,0,0,0,0,0,0,-12,-11,-13,0,-13,0
1405,d85cf131a4d6abfc20e6cd701fbd807a,2014-01-21,2014-01-21 17:01:41,2014-01-21 17:03:49,-10,-11,8,-10,14,0,13,8,-11,18,-13,-14,-13,-12,-16,-13,-10,-10,-14,-7,-12,-8,6,-13,20,-9,-12,-11,0,-9
1468,38053812fe17eee59778da7a3a6c66c3,2014-01-28,2014-01-28 16:32:29,2014-01-28 16:34:10,-9,-8,-15,-13,-15,-14,-14,-13,-12,-14,-9,-13,-13,-13,-12,-11,-15,-11,-12,-13,-12,-11,0,-14,-6,-13,-13,-11,-10,-13
1406,16d8c0865d3d7129c4af12b2e792ae27,2014-01-21,2014-01-21 17:08:29,2014-01-21 17:10:53,0,0,-4,-6,-5,-3,0,0,-6,-4,9,0,0,-13,0,-14,-4,0,0,-10,-5,0,0,0,0,0,0,0,0,0
